time,x,y,z
17323,13.08207,-2.58896,15.30667
17373,3.51078,-6.47239,4.00148
17423,10.45389,-3.68730,-3.10795
17473,4.53067,-9.25748,3.88493
17523,7.43344,-2.11824,2.13671
17573,4.76603,12.19947,11.30517
17628,3.82459,10.27737,17.17145
17677,-2.37321,8.43372,5.78856
17723,-8.37488,10.04201,8.00296
17776,-2.56934,10.47350,6.02165
17825,-5.35443,7.02156,14.80163
17872,-1.51022,11.65030,15.15127
17923,9.82626,3.45194,14.72393
17981,2.49089,-1.21602,3.18565
18023,6.68814,-3.37349,7.30368
18073,6.92350,-7.25692,-3.92378
18124,5.55056,-0.31381,-2.13671
18175,16.65169,3.80498,18.14267
18223,2.53012,6.82543,21.75567
18273,-3.82459,11.21881,-2.87484
18323,-4.02073,9.92433,11.18863
18378,-6.64891,7.53151,7.10944
18423,-8.41411,8.51217,20.12399
18479,3.35387,7.53151,25.75717
18523,6.29587,0.62763,8.00296
18573,9.90472,-0.74531,1.94245
18629,4.96216,-5.17791,9.32385
18673,5.39366,-8.59063,-1.43741
18724,5.23675,-3.53039,-3.26334
18775,10.37544,7.17847,15.03471
18826,-4.29531,4.07957,17.36568
18873,-2.09862,10.08124,7.88642
18923,2.33398,10.15969,13.44189
18974,-4.96216,9.76742,-2.29210
19033,-8.13952,7.25692,21.75567
19073,-7.19808,9.21825,10.02313
19123,9.35554,1.76520,24.94132
19174,1.11796,-4.11879,-0.89353
19223,7.27653,-5.60940,1.78706
19276,8.92405,-3.25581,3.26334
19324,0.25497,-4.62874,6.09935
19375,8.49256,7.68841,20.62902
19424,4.76603,7.68841,17.83188
19477,-2.41244,8.39449,8.31377
19528,-2.84393,8.08068,1.55397
19573,-2.84393,8.19836,1.24317
19623,-5.98206,6.51162,11.14978
19673,-3.58923,8.98289,13.13110
19723,3.82459,9.17902,9.71235
19772,4.88371,-0.11768,17.59877
19823,-0.25497,-2.35360,0.58274
19872,9.35554,-4.35415,5.78856
19922,7.15885,-9.76742,-2.48635
19973,1.62790,2.43205,12.89799
20030,5.82515,11.84643,14.45198
20074,-3.58923,6.27626,28.98166
20122,-0.64724,9.10057,-3.26334
20173,-3.86382,6.08012,12.12102
20223,-5.74670,5.76631,1.32087
20273,-1.00028,6.74697,15.19012
20324,3.90305,5.41327,23.65928
20373,5.39366,1.88288,7.65333
20423,1.82404,-2.70664,6.48784
20473,9.90472,-1.72597,0.03884
20523,2.49089,-7.02156,5.78856
20573,5.55056,-2.07901,4.50652
20623,7.70803,6.31548,10.06199
20673,-5.07984,5.64863,31.73996
20724,5.74670,11.92489,-3.34104
20773,-4.49145,8.31604,11.81021
20824,-4.84449,6.47239,2.52521
20873,-6.25664,4.19725,14.37428
20924,0.60801,12.23870,10.21739
20973,2.53012,0.03923,20.47363
21023,5.51134,-0.78453,-0.97122
21087,6.29587,-2.23592,5.55547
21123,6.80582,-3.33426,-1.35972
21172,3.11851,-2.03978,9.82890
21222,9.66936,7.72764,12.43181
21273,2.05940,5.45250,16.66640
21323,-3.78537,8.04145,8.04182
21373,-2.09862,7.17847,3.61299
21423,-6.02128,5.72708,4.19573
21473,-3.62846,5.33482,16.43329
21523,-1.15718,10.55196,1.59282
21574,6.29587,2.98122,28.08812
21624,1.54945,0.98067,8.97421
21673,2.02017,-0.86299,5.16697
21723,11.86605,-1.05912,1.98131
21773,5.07984,-5.92322,11.03322
21823,6.76659,3.33426,12.74260
21873,7.98261,11.68953,0.34963
21923,-3.86382,4.19725,23.07654
21974,0.33343,8.47295,4.62308
22023,-1.86326,8.00223,7.96412
22072,-4.76603,7.88455,5.90510
22136,-3.74614,5.96244,21.44488
22173,0.01961,13.14091,2.13671
22224,10.37544,2.58896,33.56590
22272,1.74558,-2.54973,0.77698
22322,7.39421,-3.80498,-0.19424
22373,5.15830,-5.68786,5.78856
22422,5.39366,-2.00056,7.76987
22473,6.64891,12.82710,-2.83600
22523,6.76659,4.11879,36.44075
22573,-1.23564,8.19836,0.15539
22623,-1.27486,6.94311,2.64175
22673,-4.33454,6.00167,1.16548
22723,-3.39310,5.37404,12.70376
22772,-7.08040,10.98345,7.53677
22823,15.27876,6.78620,31.50687
22872,-0.41188,0.66685,9.51809
22923,6.68814,0.11768,1.55397
22973,7.59035,-3.96189,6.33244
23023,4.56990,-3.53039,-0.19424
23073,-2.25553,5.88399,11.46056
23123,12.61135,5.49172,12.50950
23180,-4.02073,4.98178,28.20466
23223,3.55001,8.08068,-1.39857
23273,-4.72681,5.88399,7.18713
23323,-6.29587,4.15802,4.19573
23373,-5.51134,5.60940,16.00595
23425,-5.35443,7.45305,7.84757
23474,17.39700,2.58896,28.16582
23523,2.76548,0.00000,0.81583
23573,6.60968,-2.43205,2.71945
23623,5.66824,-4.00111,1.43741
23673,5.04062,-0.19613,6.87634
23724,4.05995,11.02267,7.07059
23773,6.33510,7.06079,31.31264
23823,-2.13785,7.80609,2.83600
23873,-0.92183,7.96300,-2.29210
23924,-5.70747,5.45250,13.16995
23972,-5.31520,4.23647,15.61745
24022,-2.49089,8.15913,6.56555
24077,1.54945,4.11879,21.40602
24124,3.90305,1.72597,15.92825
24182,3.35387,1.56906,7.26483
24223,6.88427,-0.50995,0.93237
24273,3.23619,-4.07957,12.00446
24323,8.45333,4.62874,4.38997
24377,1.98094,5.53095,18.76427
24423,1.00028,8.74753,6.17705
24473,-3.27542,8.39449,7.88642
24523,1.94172,9.10057,9.36270
24573,-6.06051,10.43428,7.69218
24623,-12.06218,8.78676,23.62044
24673,10.57157,8.70831,11.96561
24723,4.53067,-3.41271,17.32684
24773,3.39310,-1.96133,-4.77847
24823,5.00139,-3.41271,9.86774
24874,7.82571,-2.19669,6.17705
24923,5.78592,2.23592,11.07207
24973,3.55001,7.21769,1.08778
25023,4.02073,7.02156,16.00595
25072,-5.23675,10.31660,7.57564
25123,-1.19641,11.68953,12.31526
25179,-2.80470,5.45250,12.74260
25223,-2.53012,5.41327,17.09373
25273,-4.09918,6.98234,7.57564
25323,9.35554,2.47128,16.31675
25373,0.68647,0.07845,1.35972
25422,3.66769,-0.58840,1.01008
25472,9.31632,-4.31493,6.99288
25522,6.06051,-3.72653,8.54686
25573,7.90416,9.17902,3.92378
25622,-0.01961,6.31548,21.56141
25673,2.68702,6.00167,9.98429
25723,-4.09918,8.51217,-7.61448
25773,-0.33343,10.47350,14.52967
25823,-5.00139,11.72875,11.61598
25872,-4.72681,4.62874,25.67945
25923,6.84504,4.98178,13.44189
25973,7.47267,-0.03923,6.60440
26022,1.58868,-2.66741,1.24317
26072,6.57046,-2.94200,1.82591
26123,5.86438,-4.74642,8.27492
26180,5.39366,1.33370,9.44039
26222,3.74614,10.31660,14.41312
26272,-2.09862,10.78732,14.10233
26322,3.82459,8.59063,0.93237
26373,3.39310,7.17847,7.03173
26423,-3.51078,7.33537,10.25624
26473,-5.82515,6.70775,16.93834
26523,-4.80526,7.29615,-5.40005
26573,8.88482,0.66685,22.06646
26623,7.43344,-0.39227,1.63167
26673,4.45222,-1.92210,16.82179
26723,5.43288,-1.68674,1.74822
26774,5.07984,-2.39282,9.67350
26823,4.05995,5.49172,9.82890
26873,2.60857,8.74753,17.83188
26923,4.72681,10.15969,8.85766
26972,-0.60801,7.33537,-2.60291
27022,-6.64891,4.86410,6.79864
27072,-6.92350,5.80554,6.60440
27123,-7.31576,7.33537,16.78294
27179,6.49200,5.21714,12.70376
27223,1.35332,0.31381,14.49082
27273,-2.02017,-1.80442,2.44750
27323,6.33510,-1.52984,8.89651
27373,5.70747,-3.25581,7.26483
27423,5.15830,-1.72597,11.81021
27473,6.37432,6.35471,15.96710
27522,0.80415,7.45305,15.26781
27573,-3.31465,8.55140,0.27193
27623,-4.02073,7.88455,0.66044
27672,-7.11963,5.41327,9.36270
27723,-7.39421,4.78565,15.15127
27773,-2.96161,8.86521,15.11241
27823,1.78481,1.56906,22.22187
27873,-0.17652,-2.58896,7.10944
27923,9.23786,-0.39227,-1.04893
27973,7.78648,-2.39282,2.05901
28022,5.27598,-3.64807,4.11804
28072,5.04062,1.72597,23.97009
28122,2.41244,10.23814,3.61299
28179,-3.47155,4.78565,20.04629
28223,5.00139,8.43372,11.49942
28273,-3.78537,6.35471,8.00296
28322,-4.64835,5.68786,12.66491
28373,-4.53067,6.04090,21.40602
28429,0.60801,5.76631,10.56703
28473,-0.88260,-0.66685,14.87932
28523,3.98150,-2.43205,7.26483
28573,9.59090,-1.01989,-3.14680
28623,4.72681,-5.72708,9.20730
28673,5.23675,1.01989,4.23458
28723,5.27598,8.62985,13.63615
28773,3.66769,8.15913,16.82179
28823,-4.45222,6.94311,13.67499
28873,2.53012,8.08068,-3.80723
28923,-8.33565,5.29559,12.39295
28973,-1.70636,10.82654,17.87072
29025,-17.82849,10.19892,8.43031
